Nome,Semana,Data,Plataforma,Formato,Engajamento,Taxa de Engajamento,Impressoes,Visualizacoes,Likes,Comentarios,Compartilhamentos,VMG,Legenda,Link
Josimar de Maranhãozinho,14-20 MAR/24,18-03-2024,Instagram,Carrossel,669,0.0058,28807.0,0.0,652,17.0,0.0,1342.95,"Hoje, o deputado Josimar de Maranhãozinho oficializou a filiação da vice-prefeita e pré-candidata à prefeitura de Santo Antônio dos Lopes, Cibelle Napoleão, ao Partido Liberal (PL). Essa adesão representa um fortalecimento para o PL, especialmente com a inclusão de uma figura tão dedicada e comprometida com o bem-estar das pessoas, especialmente aquelas em maior vulnerabilidade. Acompanhando a ocasião estavam seu esposo, Maurício, e seu primo, Napoleão Sobrinho.",https://www.instagram.com/p/C4q9-NDOKQJ/
Josimar de Maranhãozinho,14-20 MAR/24,20-03-2024,Instagram,Foto,521,0.0045,28814.0,0.0,503,18.0,0.0,1222.66,"Os deputados federais Josimar Maranhãozinho e Detinha participaram de uma reunião com Valdemar Costa Neto, o presidente do Partido Liberal (PL). Durante a reunião, debateram sobre as eleições municipais que ocorrerão em 2024 e o encontro do PL Mulher Maranhão.",https://www.instagram.com/p/C4wOjAEO7f4/
Josimar de Maranhãozinho,14-20 MAR/24,18-03-2024,Instagram,Reels,467,0.0040999999999999,28807.0,0.0,440,27.0,0.0,1237.63,"Os deputados Josimar e Detinha receberam a filiação de Kekeu, pré-candidato a prefeito de Governador Newton Bello. Kekeu conta com o apoio do atual prefeito, Roberto do Posto.",https://www.instagram.com/reel/C4qw42ZuWZo/
Nikolas Ferreira,14-20 MAR/24,19-03-2024,Instagram,Reels,604461,0.0572,1795298.0,0.0,590807,13654.0,0.0,653821.51,Não serão esquecidos.,https://www.instagram.com/reel/C4t3nbbrO6X/
Nikolas Ferreira,14-20 MAR/24,20-03-2024,Instagram,Reels,326053,0.0308999999999999,1795298.0,0.0,310380,15673.0,0.0,428200.59,Capacitados são vocês 👍🏻,https://www.instagram.com/reel/C4vpso4OQFP/
Nikolas Ferreira,14-20 MAR/24,20-03-2024,Twitter,Link,42436,0.1341999999999999,316284.0,0.0,36212,0.0,6224.0,67466.07,"Após mais de 5 anos de empenho, finalmente aprovamos o fim das saídas temporárias, que ocasionaram diversas vítimas em todo o país. Perde o crime, vence o Brasil. Parabéns pelo projeto, @DerriteSP! t.co/kUC5dYEWJP",https://twitter.com/user/status/1770579398418215256
Abilio Brunini,4-10 SET/24,4-09-2024,Instagram,Reels,11975,0.0412999999999999,72517.0,0.0,11703,272.0,0.0,13798.59,Eu não xingo! 😉 João 8.32 ✅,https://www.instagram.com/reel/C_g02E5PSlv/
Abilio Brunini,4-10 SET/24,6-09-2024,Instagram,Reels,8501,0.0293,72573.0,0.0,7980,521.0,0.0,12515.38,Botelho (fã do Lula) disse que Bolsonaro não tinha condições de ser presidente. Agora em entrevista ao olhardiretooficial disse que o Abilio não tenho condições de ser presidente. O sistema é …,https://www.instagram.com/reel/C_lPo8ru35t/
Abilio Brunini,4-10 SET/24,5-09-2024,Instagram,Reels,7526,0.0259,72573.0,0.0,7197,329.0,0.0,10363.6,Vamos pra cima 2️⃣2️⃣✅ pra resgatar Cuiabá 🇧🇷 jairmessiasbolsonaro,https://www.instagram.com/reel/C_jks8KPZAm/
André Fernandes,4-10 SET/24,5-09-2024,TikTok,Vídeo,534887,0.107,0.0,5000000.0,514900,6687.0,13300.0,1456810.16,"Sarto, se for chorar manda aúdio! 😂",https://www.tiktok.com/@andrefernandes_br/video/7411303189175176454
André Fernandes,4-10 SET/24,8-09-2024,TikTok,Vídeo,341018,0.0897,0.0,3800000.0,331200,2808.0,7010.0,1061432.16,Bom Jardim representou! 🫶🏻👏🏻,https://www.tiktok.com/@andrefernandes_br/video/7412389049056431365
André Fernandes,4-10 SET/24,7-09-2024,Instagram,Reels,114258,0.0634,306351.0,0.0,110617,3641.0,0.0,402085.44,Menos de 1 mês pra vitória!,https://www.instagram.com/reel/C_n15HVxalH/
Antonio Carlos Rodrigues,4-10 SET/24,4-09-2024,Instagram,Reels,58,0.0015,9694.0,0.0,47,11.0,0.0,798.19,"Acompanhei o lançamento do meu amigo, parceiro e candidato à reeleição a vereador de São Paulo, isacfelix_. Um dia de muita união e força com os nossos apoiadores! Isac, estamos juntos sempre! Um número campeão vocês já sabem: 2️⃣2️⃣6️⃣7️⃣8️⃣ ✅ #isacfelix #isacfelix22678 #capaoredondo #campolimpo #valovelho",https://www.instagram.com/p/C_gCMA1vyLF/
Antonio Carlos Rodrigues,4-10 SET/24,5-09-2024,Instagram,0,143,0.0037,9656.0,0.0,129,14.0,0.0,575.23,Hoje é um dia para reforçarmos o orgulho de sermos brasileiros e refletirmos sobre nosso papel na construção de um país mais justo e próspero para todos! Orgulho de ser brasileiro 🇧🇷,https://www.instagram.com/p/C_ibb0juPld/
Antonio Carlos Rodrigues,4-10 SET/24,6-09-2024,Instagram,Reels,374,0.0098,9581.0,0.0,336,38.0,0.0,437.06,"Cuidando da saúde de Ilha Solteira! Contem comigo! Abraços, Antonio Carlos Rodrigues 💡 #ilhasolteira #ilhasolteirasp #ACR #ohomemdalampada",https://www.instagram.com/reel/C_mQdWMsbF8/
Bia Kicis,4-10 SET/24,6-09-2024,Instagram,Reels,189542,0.0935999999999999,344107.0,0.0,150126,39416.0,0.0,440391.82,Servidores do INSS protestam contra Lula. Ninguém aguenta mais o descaso desse desgoverno.,https://www.instagram.com/reel/C_ltswnJfpd/
Bia Kicis,4-10 SET/24,4-09-2024,Instagram,Reels,161073,0.0796,344026.0,0.0,154873,6200.0,0.0,188709.21,O grande jornalista alexandregarcia.br não está mais em solo brasileiro. Que tristeza!,https://www.instagram.com/reel/C_hFmlmp3Cn/
Bia Kicis,4-10 SET/24,4-09-2024,Instagram,Reels,156075,0.0771,343945.0,0.0,149417,6658.0,0.0,187541.82,"Coletiva de imprensa da oposição para anúncio de obstrução dos trabalhos com foco no impeachment do ministro Alexandre de Moraes. Chega de tirania! Dia 7/9, manifestação na Avenida Paulista.",https://www.instagram.com/reel/C_guZ6zp5TR/
