Nome,Semana,Link,Data,Plataforma,Formato,Engajamento,Taxa de Engajamento,Impressoes,Visualizacoes,Likes,Comentarios,Compartilhamentos,VMG
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1769731669567684795,18-03-2024,Twitter,Link,246,0.0029,83800.0,0.0,211,0.0,35.0,1828.76
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1769731666866573654,18-03-2024,Twitter,Vídeo,10245,0.1223,83800.0,0.0,7283,0.0,2962.0,20884.37
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1769731671962595503,18-03-2024,Twitter,Texto,268,0.0032,83800.0,0.0,232,0.0,36.0,1854.04
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/p/C4q158Mvohy/,18-03-2024,Instagram,Foto,15262,0.0175,218069.0,0.0,14861,401.0,0.0,20798.7
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/reel/C4rC1C-uICZ/,18-03-2024,Instagram,Reels,13730,0.0157,218069.0,0.0,13171,559.0,0.0,20561.9
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1770209054998040961,19-03-2024,Twitter,Link,192,0.0023,83800.0,0.0,170,0.0,22.0,1734.44
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/reel/C4tjZRfOZd6/,19-03-2024,Instagram,Reels,15792,0.0181,218295.0,0.0,15362,430.0,0.0,21457.97
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1770209052846346264,19-03-2024,Twitter,Vídeo,5726,0.0683,83800.0,0.0,4325,0.0,1401.0,11543.52
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1770577608008142985,20-03-2024,Twitter,Link,218,0.0026,83800.0,0.0,199,0.0,19.0,1751.52
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1770577604086518062,20-03-2024,Twitter,Foto,4576,0.0546,83800.0,0.0,3799,0.0,777.0,8472.58
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1770577606225637611,20-03-2024,Twitter,Link,206,0.0025,83800.0,0.0,191,0.0,15.0,1727.16
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/p/C4wIbDlu5x0/,20-03-2024,Instagram,Foto,13388,0.0153,218522.0,0.0,12878,510.0,0.0,19942.86
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/reel/C4v-iulPsNg/,20-03-2024,Instagram,Reels,4780,0.0055,218522.0,0.0,4400,380.0,0.0,11650.78
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1770518910174888119,20-03-2024,Twitter,Link,285,0.0034,83800.0,0.0,232,0.0,53.0,1923.23
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1770518911949083068,20-03-2024,Twitter,Link,207,0.0025,83800.0,0.0,177,0.0,30.0,1774.07
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1770518907175981227,20-03-2024,Twitter,Foto,4531,0.0541,83800.0,0.0,3464,0.0,1067.0,9314.53
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/p/C4vwP9XOZ0w/,20-03-2024,Instagram,Foto,23171,0.0265,218522.0,0.0,21755,1416.0,0.0,34553.28
Caroline De Toni,14-20 MAR/24,https://twitter.com/user/status/1770489922010435827,20-03-2024,Twitter,Vídeo,3683,0.0438999999999999,83800.0,0.0,3103,0.0,580.0,6967.83
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/reel/C4vdxA6u8E0/,20-03-2024,Instagram,Reels,9505,0.0109,218522.0,0.0,9245,260.0,0.0,14893.48
Caroline De Toni,14-20 MAR/24,https://www.instagram.com/reel/C4vSH-bONSC/,20-03-2024,Instagram,Reels,7074,0.0081,218522.0,0.0,6077,997.0,0.0,17843.9
Chris Tonietto,14-20 MAR/24,https://www.instagram.com/reel/C4gjl51JQ_7/,14-03-2024,Instagram,Reels,1141,0.0051,56054.0,0.0,1115,26.0,0.0,2426.48
Chris Tonietto,14-20 MAR/24,https://www.instagram.com/reel/C4lXAKlp1v_/,16-03-2024,Instagram,Reels,1909,0.0085,56054.0,0.0,1792,117.0,0.0,3709.4
Chris Tonietto,14-20 MAR/24,https://www.instagram.com/p/C4wG5iwJ1AF/,20-03-2024,Instagram,Carrossel,7484,0.0334,56054.0,0.0,7169,315.0,0.0,9858.22
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768307004890644872,14-03-2024,Twitter,Link,40098,0.1481,270749.0,0.0,33759,0.0,6339.0,64656.09
Eduardo Bolsonaro,14-20 MAR/24,https://www.youtube.com/watch?v=VWZ6znyc1E8,14-03-2024,YouTube,Vídeo,27019,0.2809,0.0,96186.0,24845,2174.0,0.0,125465.28
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768432379230871810,14-03-2024,Twitter,Link,16122,0.0595,270796.0,0.0,12281,0.0,3841.0,32797.27
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768431186450276723,14-03-2024,Twitter,Texto,15104,0.0558,270796.0,0.0,13237,0.0,1867.0,25728.65
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/reel/C4g3Z88r08W/,14-03-2024,Instagram,Reels,63065,0.0111,966894.0,0.0,58953,4112.0,0.0,104223.45
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768281820481663466,14-03-2024,Twitter,Link,7200,0.0266,270749.0,0.0,5509,0.0,1691.0,17206.23
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/p/C4gAoIuL0jX/,14-03-2024,Instagram,Foto,261730,0.046,966894.0,0.0,253851,7879.0,0.0,300841.63
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768307236017680573,14-03-2024,Twitter,Link,11365,0.042,270749.0,0.0,9370,0.0,1995.0,22343.12
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768334499966808099,14-03-2024,Twitter,Link,4456,0.0165,270749.0,0.0,3352,0.0,1104.0,12638.57
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768341248543252596,14-03-2024,Twitter,Link,8703,0.0321,270749.0,0.0,7334,0.0,1369.0,17738.94
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768814319435960676,15-03-2024,Twitter,Link,10772,0.0398,270823.0,0.0,9445,0.0,1327.0,19701.41
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/reel/C4i1y9YrQoR/,15-03-2024,Instagram,Reels,82419,0.0144999999999999,966965.0,0.0,78128,4291.0,0.0,122093.86
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768682506621006198,15-03-2024,Twitter,Foto,15029,0.0555,270796.0,0.0,13032,0.0,1997.0,26050.7
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768651892156924109,15-03-2024,Twitter,Foto,5232,0.0192999999999999,270796.0,0.0,4293,0.0,939.0,12918.25
