Nome,Data,Plataforma,Total de Posts,Engajamento Total,Engajamento Médio,Taxa de Engajamento,VMG
Josimar Maranhãozinho,12-18 JUN/24,YouTube,,883,441.5,0.0038,2747.53
Nikolas Ferreira,12-18 JUN/24,Total,38.0,2140570,56330.8,0.0636,3362921.02
Nikolas Ferreira,12-18 JUN/24,Instagram,4.0,2140570,56330.8,0.0636,3362921.02
Nikolas Ferreira,12-18 JUN/24,TikTok,1.0,2140570,56330.8,0.0636,3362921.02
Nikolas Ferreira,12-18 JUN/24,X,30.0,2140570,56330.8,0.0636,3362921.02
Nikolas Ferreira,12-18 JUN/24,YouTube,3.0,2140570,56330.8,0.0636,3362921.02
Abilio Brunini,4-10 SET/24,Total,23.0,61558,2676.4,0.0455,103402.54
Abilio Brunini,4-10 SET/24,Instagram,19.0,61558,2676.4,0.0455,103402.54
Abilio Brunini,4-10 SET/24,TikTok,0.0,61558,2676.4,0.0455,103402.54
Abilio Brunini,4-10 SET/24,X,0.0,61558,2676.4,0.0455,103402.54
Abilio Brunini,4-10 SET/24,YouTube,4.0,61558,2676.4,0.0455,103402.54
André Fernandes,4-10 SET/24,Total,32.0,1601721,50053.8,0.0709,5180218.64
André Fernandes,4-10 SET/24,Instagram,16.0,1601721,50053.8,0.0709,5180218.64
André Fernandes,4-10 SET/24,TikTok,15.0,1601721,50053.8,0.0709,5180218.64
André Fernandes,4-10 SET/24,X,0.0,1601721,50053.8,0.0709,5180218.64
André Fernandes,4-10 SET/24,YouTube,1.0,1601721,50053.8,0.0709,5180218.64
Antonio Carlos Rodrigues,4-10 SET/24,Total,4.0,817,204.2,0.0053,2154.78
Antonio Carlos Rodrigues,4-10 SET/24,Instagram,4.0,817,204.2,0.0053,2154.78
Antonio Carlos Rodrigues,4-10 SET/24,TikTok,0.0,817,204.2,0.0053,2154.78
Antonio Carlos Rodrigues,4-10 SET/24,X,0.0,817,204.2,0.0053,2154.78
Antonio Carlos Rodrigues,4-10 SET/24,YouTube,0.0,817,204.2,0.0053,2154.78
Bia Kicis,4-10 SET/24,Total,58.0,2919490,50336.0,0.051,4059483.32
